new_sku,item_name,category,unit,cost,retail,qty,store_type,selected_old_sku,merged_old_skus,source_count,review_flag,conflicts
FGH-COGNAC-007,MARTELL VSOP 700ML,COGNAC,bottle,7865.0,13000.0,1000.0,bar_store,FGB-COG-0004,FGB-COG-0004 | FGB-STK-WHK-0026 | FG-288,3,HIGH,"RETAIL, COST, CATEGORY, NAME ALIAS"
FGH-CONDOMS-001,KISS,CONDOMS,pcs,0,100.0,0,non_consumables,FGB-STK-OTH-0002,FGB-STK-OTH-0002 | FG-444,2,MEDIUM,"CATEGORY, NAME ALIAS"
FGH-CONDOMS-002,STUDDED,CONDOMS,pcs,39.5,100.0,976.0,non_consumables,FGB-OTH-0006,FGB-OTH-0006 | FG-397,2,HIGH,"RETAIL, COST, CATEGORY, NAME ALIAS"
FGH-CONDOMS-003,TRUST CLASSIC,CONDOMS,pcs,30.0,0,976.0,non_consumables,FG-NC-001,FG-NC-001,1,OK,
FGH-DRY-GOODS-001,13KG GAS,DRY GOODS,pcs,2400.0,2400.0,1000.0,foodstuffs,FG-363,FG-363,1,OK,
FGH-DRY-GOODS-002,50KG GAS,DRY GOODS,pcs,1050.0,8500.0,1000.0,foodstuffs,FG-151,FG-151,1,OK,
FGH-DRY-GOODS-003,6KG,DRY GOODS,pcs,350.0,1250.0,1000.0,foodstuffs,FG-153,FG-153,1,OK,
FGH-DRY-GOODS-004,6KG GAS,DRY GOODS,pcs,1250.0,1050.0,1000.0,foodstuffs,FG-157,FG-157,1,OK,
FGH-DRY-GOODS-005,AIR FRESHENERS,DRY GOODS,pcs,1980.0,1980.0,974.0,foodstuffs,FG-9,FG-9,1,OK,
FGH-DRY-GOODS-006,AJAB UGALI,DRY GOODS,bale,265.0,265.0,538.0,foodstuffs,FG-2,FG-2,1,OK,
FGH-DRY-GOODS-007,ATTARMARK,DRY GOODS,pcs,1284.0,265.0,993.0,foodstuffs,FG-383,FG-383,1,OK,
FGH-DRY-GOODS-008,BACON,DRY GOODS,pkt,400.0,400.0,1000.0,foodstuffs,FG-82,FG-82,1,OK,
FGH-DRY-GOODS-009,BAKED BEANS,DRY GOODS,pcs,20.0,400.0,1000.0,foodstuffs,FG-189,FG-189,1,OK,
FGH-DRY-GOODS-010,BAKING POWDER,DRY GOODS,pcs,10.0,20.0,994.0,foodstuffs,FG-61,FG-61,1,OK,
FGH-DRY-GOODS-011,BANANAS,DRY GOODS,pcs,180.0,10.0,1000.0,foodstuffs,FG-150,FG-150,1,OK,
FGH-DRY-GOODS-012,BAR SOAP,DRY GOODS,pcs,70.0,202.0,994.0,foodstuffs,FG-40,FG-40,1,OK,
FGH-DRY-GOODS-013,BASMATI RICE,DRY GOODS,kg,10.0,10.0,895.0,foodstuffs,FG-5,FG-5,1,OK,
FGH-DRY-GOODS-014,BATTERIES AA,DRY GOODS,pcs,50.0,70.0,1000.0,foodstuffs,FG-354,FG-354,1,OK,
FGH-DRY-GOODS-015,BATTERIES AAA,DRY GOODS,pcs,850.0,50.0,1000.0,foodstuffs,FG-369,FG-369,1,OK,
FGH-DRY-GOODS-016,BAYGON,DRY GOODS,pcs,250.0,650.0,1000.0,foodstuffs,FG-392,FG-392,1,OK,
FGH-DRY-GOODS-017,BEEF MASALA,DRY GOODS,pcs,680.0,250.0,1000.0,foodstuffs,FG-339,FG-339,1,OK,
FGH-DRY-GOODS-018,BEEF STEAK,DRY GOODS,pcs,32.5,680.0,1000.0,foodstuffs,FG-79,FG-79,1,OK,
FGH-DRY-GOODS-019,BEETROOTS,DRY GOODS,pcs,30.0,30.0,1000.0,bar_store,FG-346,FG-346,1,OK,
FGH-DRY-GOODS-020,BELLA TISSUE,DRY GOODS,pcs,45.0,22.0,430.0,foodstuffs,FG-44,FG-44,1,OK,
FGH-DRY-GOODS-021,BICARBONATE,DRY GOODS,pcs,10.0,45.0,970.0,foodstuffs,FG-385,FG-385,1,OK,
FGH-DRY-GOODS-022,BIRO PENS,DRY GOODS,pcs,150.0,10.0,976.0,foodstuffs,FG-38,FG-38,1,OK,
FGH-DRY-GOODS-023,BLACK PEPPER,DRY GOODS,pcs,2970.0,150.0,999.0,foodstuffs,FG-46,FG-46,1,OK,
FGH-DRY-GOODS-024,BLUE BAND,DRY GOODS,pcs,60.0,2970.0,1000.0,foodstuffs,FG-7,FG-7,1,OK,
FGH-DRY-GOODS-025,BROCCOLI,DRY GOODS,kg,60.0,60.0,1000.0,foodstuffs,FG-170,FG-170,1,OK,
FGH-DRY-GOODS-026,BROILERS,DRY GOODS,pcs,600.0,600.0,352.0,foodstuffs,FG-15,FG-15,1,OK,
FGH-DRY-GOODS-027,BROILERS EGGS,DRY GOODS,pcs,450.0,450.0,1000.0,foodstuffs,FG-20,FG-20,1,OK,
FGH-DRY-GOODS-028,BROOMS,DRY GOODS,pcs,50.0,50.0,1000.0,foodstuffs,FG-370,FG-370,1,OK,
FGH-DRY-GOODS-029,BROWN BREAD,DRY GOODS,pcs,57.0,57.0,1000.0,foodstuffs,FG-111,FG-111,1,OK,
FGH-DRY-GOODS-030,BROWN KHAKI,DRY GOODS,pcs,200.0,200.0,1000.0,foodstuffs,FG-352,FG-352,1,OK,
FGH-DRY-GOODS-031,BUTTERNUT,DRY GOODS,kg,80.0,80.0,1000.0,foodstuffs,FG-91,FG-91,1,OK,
FGH-DRY-GOODS-032,CABBAGES,DRY GOODS,pcs,45.0,50.0,605.0,foodstuffs,FG-32,FG-32,1,OK,
FGH-DRY-GOODS-033,CARDAMOMS,DRY GOODS,pkt,85.0,150.0,1000.0,foodstuffs,FG-341,FG-341,1,OK,
FGH-DRY-GOODS-034,CARRIER BAGS #15,DRY GOODS,pcs,150.0,85.0,979.0,foodstuffs,FG-8,FG-8,1,OK,
FGH-DRY-GOODS-035,CARRIER BAGS #22,DRY GOODS,pkt,125.0,125.0,977.0,foodstuffs,FG-351,FG-351,1,OK,
FGH-DRY-GOODS-036,CARROTS,DRY GOODS,kg,30.0,80.0,878.0,foodstuffs,FG-107,FG-107,1,OK,
FGH-DRY-GOODS-037,CHARCOAL,DRY GOODS,sack,1450.0,1450.0,969.5,foodstuffs,FG-109,FG-109,1,OK,
FGH-DRY-GOODS-038,CHICKEN BITES,DRY GOODS,pkt,375.0,375.0,1000.0,foodstuffs,FG-77,FG-77,1,OK,
FGH-DRY-GOODS-039,CHICKEN MASALA,DRY GOODS,pcs,250.0,250.0,999.0,foodstuffs,FG-340,FG-340,1,OK,
FGH-DRY-GOODS-040,CHILLI SAUCE,DRY GOODS,pcs,450.0,450.0,999.0,foodstuffs,FG-124,FG-124,1,OK,
FGH-DRY-GOODS-041,CHILLIE SAUCE SACHETS,DRY GOODS,pkt,900.0,900.0,1000.0,foodstuffs,FG-344,FG-344,1,OK,
FGH-DRY-GOODS-042,CINNAMON,DRY GOODS,pcs,230.0,230.0,999.0,foodstuffs,FG-122,FG-122,1,OK,
FGH-DRY-GOODS-043,COCONUT CREAM,DRY GOODS,pcs,285.0,320.0,1000.0,foodstuffs,FG-60,FG-60,1,OK,
FGH-DRY-GOODS-044,COCONUT MILK,DRY GOODS,pcs,290.0,300.0,1000.0,foodstuffs,FG-59,FG-59,1,OK,
FGH-DRY-GOODS-045,COFFEE CUPS,DRY GOODS,pcs,375.0,375.0,850.0,foodstuffs,FG-129,FG-129,1,OK,
FGH-DRY-GOODS-046,COLGATE,DRY GOODS,pcs,800.0,800.0,1000.0,foodstuffs,FG-186,FG-186,1,OK,
FGH-DRY-GOODS-047,COOKING OIL,DRY GOODS,can,4600.0,5050.0,971.0,foodstuffs,FG-4,FG-4,1,OK,
FGH-DRY-GOODS-048,CORN FLOUR,DRY GOODS,pkt,107.0,107.0,978.0,foodstuffs,FG-76,FG-76,1,OK,
